title,videoIDS,publishedDate,likes,views,comment
VOLATILE MARKETS - WHERE SHOULD YOU INVEST? | Investing For Beginners 2022 | Warikoo Hindi,xjqMK3hryz0,2022-05-31T16:00:33Z,9086,212562,1037
Money YOU NEED for a LIFETIME! | Financial Planning for EVERYONE! | Ankur Warikoo Hindi,13nhoS_XYfg,2022-05-28T16:00:01Z,12852,320900,1799
METAVERSE EXPLAINED in 15 MINUTES! | Web3 For Beginners | Ankur Warikoo Hindi,yvBWBArAKeM,2022-05-26T16:00:37Z,5328,134535,586
20 MUST READ BOOKS FOR YOUR 20s! | GIVING AWAY UNLIMITED BOOKS! | Warikoo Books Hindi,dIShRJaRHGM,2022-05-24T16:00:36Z,15078,198287,10579
Lab Assistant to the CEO of Edelweiss at 32! | Money Talks with Radhika Gupta! | Warikoo Hindi,sXuX99BndMg,2022-05-21T16:00:36Z,3371,111817,376
10 SKILLS - EARN 1 LAC/MONTH! | Top Online Courses 2022 | Ankur Warikoo Hindi,opRm8sr_2Qg,2022-05-19T16:00:24Z,21992,354366,1343
REIT - UPTO 23.5% ANNUAL RETURNS! | Real Estate Investing EXPLAINED! | Ankur Warikoo Hindi,ePMsEiaRFFY,2022-05-17T16:00:33Z,25841,649373,1693
MARKETS CRASHING! - WHAT SHOULD YOU DO?! | Investing Strategy 2022 | Ankur Warikoo Hindi,_4NkigvjnZc,2022-05-14T16:00:51Z,7385,191748,1376
ALL ABOUT MAKING MONEY WITH @Ishan Sharma! | Ankur Warikoo Hindi,SZVt3z3xbTg,2022-05-12T16:00:22Z,14716,354398,741
The Courage to be Disliked - BOOK REVIEW IN 10 MINUTES! | Ankur Warikoo Hindi,vB1SU3XTd1I,2022-05-10T16:00:32Z,7885,132116,704
Things EVERYONE should know about MONEY! | Candid LESSONS with @Tanmay Bhat | Warikoo Hindi,jQSzZwsljG8,2022-05-07T16:00:18Z,14983,320438,749
Reduce CAPITAL GAIN TAX by 90%! | Tax Harvesting EXPLAINED! | Ankur Warikoo Hindi,RqwV6VOw2g8,2022-05-05T16:00:09Z,8306,184876,1227
The BEST INVESTMENT portfolio for YOUR AGE! | Investing for Beginners | Ankur Warikoo Hindi,wNkR2V5pSeY,2022-05-03T16:00:29Z,8872,193271,749
Get OUT of LOAN and DEBT! | Repay Loans quickly 2022! | Ankur Warikoo Hindi,bzrLak6iw20,2022-04-30T16:00:31Z,5598,134308,563
Career Change - 5 STEP FRAMEWORK! | Switching Jobs | Ankur Warikoo Hindi,9lVjGhIr9p8,2022-04-28T16:00:04Z,5161,130009,413
COMPLETE GUIDE to US Stock Market Investing! | Ankur Warikoo Hindi,01GRBpGBKCw,2022-04-26T15:59:44Z,7059,164947,1319
BUYING a Car - are you LOSING MONEY? | Ankur Warikoo Hindi,dRnABh-rjwQ,2022-04-23T16:00:30Z,16954,396104,4333
STARTUP vs. CORPORATE - Which is the BEST for YOU? | Ankur Warikoo Hindi,mKwZeCrab8M,2022-04-21T16:00:18Z,4543,105193,473
TAKE CHARGE of YOUR MONEY in 10 MINUTES! | Financial Planning | Ankur Warikoo Hindi,lHpYxqiRXkw,2022-04-19T16:00:33Z,10670,171933,1069
10 SIGNS that you WILL become RICH! | Ankur Warikoo Hindi,WGHbhxghEhQ,2022-04-16T16:00:13Z,12408,214100,1175
14 ONLINE COURSES that can make you RICH! | Ankur Warikoo Hindi,o21LkcxuLx8,2022-04-14T16:00:33Z,35070,799312,6864
5 KEY Tips to a LONG and HAPPY LIFE! | IKIGAI BOOK REVIEW in HINDI | Ankur Warikoo,3UNFI4ru7SE,2022-04-12T16:00:01Z,10358,201818,3342
My MOTHER taught me THIS! | Ankur Warikoo #Shorts,C8UYlvHtqrY,2022-04-11T06:30:01Z,9923,131743,198
A FUNNY Incident with MY PARENTS! | Ankur Warikoo #Shorts,HwS53PhPZDc,2022-04-10T06:30:05Z,20501,340546,540
A LIFE LESSON I learnt from MY MOTHER! | Ankur Warikoo #Shorts,DZGoHZtZZXw,2022-04-09T08:47:25Z,14256,137428,170
How MY DAUGHTER reads BOOKS! | Ankur Warikoo #Shorts,DsHnV67nN0k,2022-04-08T06:30:05Z,14182,171636,129
I DROPPED OUT of my education IN AMERICA! | Ankur Warikoo #Shorts,ypWdlHganhI,2022-04-07T06:30:17Z,22648,348270,348
This advice CHANGED the way I WORK! | Ankur Warikoo #Shorts,KDef8SDAW_s,2022-04-05T06:30:06Z,13944,171666,93
COMPLETE GUIDE to SMALLCASE Investments! | Investing for Beginners | Ankur Warikoo Hindi,GhNpAPPIVIk,2022-04-02T16:00:12Z,14124,376507,1604
"Study in US, UK, Canada | Is it Worth it? | Ankur Warikoo Hindi",JBX7-71euk4,2022-03-31T16:00:08Z,15413,343889,2079
"I had NO JOB, NO MONEY! | Ankur Warikoo #Hindi",vaaL8PVlO8M,2022-03-29T16:00:35Z,12896,194745,1243
5 apps I use for INVESTING! | Ankur Warikoo #Shorts,rBMwZP2XpkA,2022-03-28T06:30:14Z,24312,380413,500
CREDIT CARDS ARE AWESOME! | Ankur Warikoo #shorts,AnLf_olGzwg,2022-03-27T06:30:05Z,6694,113207,93
How to invest in Real Estate? | Ankur Warikoo | My experience with Real estate investing,9yMg2RZE0Gc,2022-03-26T16:00:03Z,10750,284447,1590
3 MUST-READ BOOKS | Ankur Warikoo #shorts,JEc7EiKeLNI,2022-03-26T06:30:02Z,12637,121693,67
CREDIT CARDS ARE A DISASTER! #shorts,jnxuueZqBAc,2022-03-25T06:30:06Z,2689,43905,45
I STARTED investing at 39! | Ankur Warikoo,ua670SsYMQU,2022-03-24T16:00:22Z,6490,154277,795
START INVESTING IN YOUR 20s - 3 WAYS | Ankur Warikoo #shorts,67GaoYVtCOI,2022-03-24T06:30:00Z,13256,138813,244
3 THINGS TO DO BEFORE YOU START INVESTING | Ankur Warikoo #shorts,HAEq3-KaCp4,2022-03-23T06:30:02Z,14939,167508,146
Grow your money through Excel | Ankur Warikoo | Personal Finance | Investing using Excel,674nedqMwR0,2022-03-22T16:00:02Z,8829,227335,750
How to RE-PAY LOANS Quickly? | Ankur Warikoo #shorts,Gzm70980UOs,2022-03-22T06:30:04Z,17371,222416,274
THESE 3 THINGS WILL MAKE you POOR! | Ankur Warikoo #Shorts,OrRR6r1OL8U,2022-03-21T06:30:06Z,10548,125439,129
What is YOUR RELATIONSHIP with MONEY? | Ankur Warikoo #Shorts,S0V3x__mTLk,2022-03-20T06:30:03Z,6034,85506,102
